,SSID,MAC Address,RSSI,Channel,Security
0,nvm,00:14:22:4d:6a:0b,-61,149,WPA2-Personal
1,realme 5i,00:14:22:f1:99:c7,-55,11,WPA2-Personal
2,DIRECT-XNEASHUUmsVP,00:14:22:2f:ba:31,-49,153,WPA2-Personal
3,,00:14:22:ce:fe:f7,-46,6,Open
4,Robin,00:14:22:08:13:23,-24,1,WPA2-Personal
5,Lava-HP,00:14:22:15:71:02,-43,11,Open
6,"^,I?d?cdY",00:14:22:18:a5:5b,-28,161,WPA2-Personal
7,Player_4,00:14:22:08:10:ad,-28,36,WPA2-Personal
8,KarthickS,00:14:22:8b:28:98,-24,1,WPA3-Personal
9,Nothing Phone (2a) Plus_8290,00:14:22:9e:cd:eb,-24,149,WPA3-Personal
10,Player_7,00:14:22:fb:84:a2,-24,11,WPA2-Personal
11,OnePlus 11R 5G,00:14:22:e2:b8:7c,-24,1,WPA2-Personal
12,hariharan,00:14:22:2f:2c:e9,-23,149,WPA2-Personal
13,motorola edge 50 pro_3045,00:14:22:6d:87:60,-23,44,WPA3-Personal
14,ais,00:14:22:14:d5:ca,-23,1,WPA3-Personal
15,KYOUKA-SUIGETSU,00:14:22:22:76:ae,-23,11,WPA2-Personal
16,Krisme,00:14:22:41:bf:73,-22,149,WPA3-Personal
17,Shreya,00:14:22:22:ff:d0,-21,36,WPA2-Personal
18,Mithun Karthick?Ts iPhone,00:14:22:5b:00:18,-21,6,WPA2-Personal
19,Redmi Note 12 Pro 5G,00:14:22:de:41:13,-21,6,WPA2-Personal
20,VIVO V25 ,00:14:22:19:8a:3e,-20,11,WPA3-Personal
21,Black Pearl ,00:14:22:05:db:d8,-20,44,WPA2-Personal
22,Player_13,00:14:22:fc:8f:ec,-20,1,WPA2-Personal
23,Srini's Galaxy CB,00:14:22:d9:89:39,-20,1,WPA2-Personal
24,Galaxy S20,00:14:22:52:d7:70,-20,6,WPA2-Personal
25,naan dhan da walter,00:14:22:8f:cf:90,-19,11,WPA2-Personal
26,Janani,00:14:22:5f:2c:c7,-18,7,WPA2-Personal
27,Player_3,00:14:22:29:c7:83,-18,6,WPA2-Personal
28,NOTHING,00:14:22:b0:e6:d0,-18,1,Open
29,Sasi 5G,00:14:22:d3:d1:be,-18,11,WPA2-Personal
30,Tarun,00:14:22:b2:00:7d,-11,6,WPA2-Personal
31,Saran,00:14:22:7e:3c:00,-10,6,WPA3-Personal
32,Jeevi,00:14:22:41:3b:95,-52,149,WPA2-Personal
33,Player_8,00:14:22:61:d1:79,-21,2,WPA2-Personal
34,Galaxy M35 5G 9A2A,00:14:22:a8:3d:51,-18,1,WPA2-Personal
35,Player_5,00:14:22:7c:a5:14,-17,1,WPA2-Personal
